"ID","NAME","STATUS","PREFIXES AS URL","PREFIXES AS LRU","HOME PAGE","START PAGES","CRAWLED","CRAWLING STATUS","INDEXING STATUS","INDEGREE","OUTDEGREE","NEIGHBOORS COUNT","TOTAL KNOWN PAGES","CRAWLED PAGES","CREATION TIMESTAMP","CREATION DATE","LAST MODIFICATION TIMESTAMP","LAST MODIFICATION DATE","total_tweets (TAGS)","twitter_score (TAGS)","total_twitter_users (TAGS)","FREETAGS (TAGS)","uncrawlable (TAGS)","createdBy (TECHNICAL INFO)","mergedWebEntities (TECHNICAL INFO)"
"21","Actu.fr","IN","http://actu.fr http://www.actu.fr https://actu.fr https://www.actu.fr","s:https|h:fr|h:actu| s:https|h:fr|h:actu|h:www| s:http|h:fr|h:actu| s:http|h:fr|h:actu|h:www|","https://actu.fr","https://actu.fr","true","FINISHED","FINISHED","222","1094","1293","4213","3136","1689961647845","2023-07-21T17:47:27.845Z","1689963782074","2023-07-21T18:23:02.074Z","676102","6,034273119","214520","","","user via lru",""
"22","Sudouest.fr","IN","http://sudouest.fr http://www.sudouest.fr https://sudouest.fr https://www.sudouest.fr","s:https|h:fr|h:sudouest| s:https|h:fr|h:sudouest|h:www| s:http|h:fr|h:sudouest| s:http|h:fr|h:sudouest|h:www|","https://sudouest.fr","https://sudouest.fr","true","FINISHED","FINISHED","230","1101","1301","14301","13209","1689961648024","2023-07-21T17:47:28.024Z","1689963775749","2023-07-21T18:22:55.749Z","573711","6,027519206","232098","","","user via lru",""
"23","Francesoir.fr","IN","http://francesoir.fr http://www.francesoir.fr https://francesoir.fr https://www.francesoir.fr","s:https|h:fr|h:francesoir| s:https|h:fr|h:francesoir|h:www| s:http|h:fr|h:francesoir| s:http|h:fr|h:francesoir|h:www|","https://francesoir.fr","https://francesoir.fr","true","FINISHED","FINISHED","94","1200","1278","3228","1597","1689961648170","2023-07-21T17:47:28.170Z","1689963769922","2023-07-21T18:22:49.922Z","765311","5,61849818","179403","","","user via lru",""
"24","20Minutes.fr","IN","http://20min.fr http://20minutes.fr http://www.20minutes.fr https://20min.fr https://20minutes.fr https://www.20minutes.fr","s:https|h:fr|h:20minutes| s:https|h:fr|h:20minutes|h:www| s:https|h:fr|h:20min| s:http|h:fr|h:20minutes| s:http|h:fr|h:20minutes|h:www| s:http|h:fr|h:20min|","https://20minutes.fr","https://20min.fr https://20min.fr https://20minutes.fr","true","FINISHED","FINISHED","287","1410","1656","9001","6036","1689961648374","2023-07-21T17:47:28.374Z","1693238810236","2023-08-28T16:06:50.236Z","10928|469011","0,1204207737|5,532229048","224746|5585","","","user via lru","424: 20Min.fr (IN)"
"25","Lequipe.fr","IN","http://lequipe.fr http://www.lequipe.fr https://lequipe.fr https://www.lequipe.fr","s:https|h:fr|h:lequipe| s:https|h:fr|h:lequipe|h:www| s:http|h:fr|h:lequipe| s:http|h:fr|h:lequipe|h:www|","https://lequipe.fr","https://lequipe.fr","true","FINISHED","FINISHED","214","706","914","6339","5316","1689961648593","2023-07-21T17:47:28.593Z","1689963757192","2023-07-21T18:22:37.192Z","451391","5,527846372","224093","","","user via lru",""
"26","Lexpress.fr","IN","http://lexpress.fr http://www.lexpress.fr https://lexpress.fr https://www.lexpress.fr","s:https|h:fr|h:lexpress| s:https|h:fr|h:lexpress|h:www| s:http|h:fr|h:lexpress| s:http|h:fr|h:lexpress|h:www|","https://lexpress.fr","https://lexpress.fr","true","FINISHED","FINISHED","243","2440","2629","16353","13959","1689961648776","2023-07-21T17:47:28.776Z","1689963752827","2023-07-21T18:22:32.827Z","428097","5,469025209","225464","","","user via lru",""
"27","Radiofrance.fr","IN","http://radiofrance-blogs.com http://radiofrance-podcast.net http://radiofrance.com http://radiofrance.fr http://www.radiofrance.com http://www.radiofrance.fr https://radiofrance-blogs.com https://radiofrance-podcast.net https://radiofrance.com https://radiofrance.fr https://www.radiofrance.com https://www.radiofrance.fr","s:https|h:com|h:radiofrance-blogs| s:https|h:com|h:radiofrance| s:https|h:com|h:radiofrance|h:www| s:https|h:fr|h:radiofrance| s:https|h:fr|h:radiofrance|h:www| s:https|h:net|h:radiofrance-podcast| s:http|h:com|h:radiofrance-blogs| s:http|h:com|h:radiofrance| s:http|h:com|h:radiofrance|h:www| s:http|h:fr|h:radiofrance| s:http|h:fr|h:radiofrance|h:www| s:http|h:net|h:radiofrance-podcast|","https://radiofrance.fr","https://mediateur.radiofrance.com https://radiofrance.fr https://www.radiofrance.com/","true","FINISHED","FINISHED","56","584","626","8698","3446","1689961648956","2023-07-21T17:47:28.956Z","1693240653861","2023-08-28T16:37:33.861Z","447713","5,328421773","205039","","","user via lru","107562: Radiofrance.com (DISCOVERED)|16026: Radiofrance-Podcast.net (DISCOVERED)|83113: Radiofrance-Blogs.com (DISCOVERED)"
"28","Planetes360.fr","IN","http://planetes360.fr http://www.planetes360.fr https://planetes360.fr https://www.planetes360.fr","s:https|h:fr|h:planetes360| s:https|h:fr|h:planetes360|h:www| s:http|h:fr|h:planetes360| s:http|h:fr|h:planetes360|h:www|","https://planetes360.fr","https://planetes360.fr","true","FINISHED","FINISHED","38","202","237","618","262","1689961649195","2023-07-21T17:47:29.195Z","1689963748526","2023-07-21T18:22:28.526Z","741864","5,265833884","161625","","","user via lru",""
"31","Ladepeche.fr","IN","http://ladepeche.fr http://www.ladepeche.fr https://ladepeche.fr https://www.ladepeche.fr","s:https|h:fr|h:ladepeche| s:https|h:fr|h:ladepeche|h:www| s:http|h:fr|h:ladepeche| s:http|h:fr|h:ladepeche|h:www|","https://ladepeche.fr","https://ladepeche.fr","true","FINISHED","FINISHED","247","1430","1631","22412","21098","1689961649934","2023-07-21T17:47:29.934Z","1689963747818","2023-07-21T18:22:27.818Z","420994","4,809539973","193601","","","user via lru",""
"32","Midilibre.fr","IN","http://midilibre.fr http://www.midilibre.fr https://midilibre.fr https://www.midilibre.fr","s:https|h:fr|h:midilibre| s:https|h:fr|h:midilibre|h:www| s:http|h:fr|h:midilibre| s:http|h:fr|h:midilibre|h:www|","https://midilibre.fr","https://midilibre.fr","true","FINISHED","FINISHED","192","954","1103","11693","11029","1689961650111","2023-07-21T17:47:30.111Z","1689963747736","2023-07-21T18:22:27.736Z","390984","4,476923734","183402","","","user via lru",""
