Id,Label,Prefixes,Filters,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,total_tweets 2022,total_twitter_users 2022
49135,Imazpress.com,imazpress.com|ipreunion.com,,869,1117,1518,938,1057,1164,958,966,1130,1288,1034,1182,13221,1869
234,Rugbyrama.fr,midi-olympique.fr|rugbyrama.fr,,4851,2833,4141,2700,3330,3202,2086,2135,2543,2632,3016,2864,36333,7164
44807,Themedialeader.fr,offremedia.com|themedialeader.fr,,727,715,572,665,664,864,600,190,545,306,349,250,6447,1360
59,France24.com,france24.com,,14512,15165,21832,11155,13241,9500,10949,12196,8637,6748,7480,5820,137235,63393
103,I24News.tv,i24ne.ws|i24news.tv,,11640,10094,7953,5186,5254,6153,5611,7055,5977,6827,5464,9953,87167,22218
31391,Decideurs-Magazine.com,decideurs-magazine.com|magazine-decideurs.com,,401,357,602,548,590,312,308,66,75,237,198,290,3984,2770
249000,olplay.Ol.fr,olplay.fr|olplay.ol.fr,,2218,4110,3219,3083,2617,1224,1992,2623,1995,4034,776,1215,29106,6830
255812,motorsport.Nextgen-Auto.com /fr,motorsport.nextgen-auto.com/fr,,243,398,359,228,411,520,1091,1208,960,1106,782,582,7888,890
14498,Luniversims.fr,luniversims.com|luniversims.fr,,192,478,612,672,508,898,868,629,321,773,742,844,7537,866
248796,Mind.eu.com /media,mind.eu.com/media|mindmedia.fr,,215,274,165,163,80,147,116,71,220,233,1160,836,3680,1684
20150,Boualemetsteph.fr,boualemetsteph.fr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
